Title_amazon,Rank,Reviews,Review Count,Price,Genre,Manufacturer,Brand,Author_amazon,Number of Pages_amazon,Author_cleaned,source_URL,Readers Choice Votes,Readers Choice Category,Title_goodreads,Author_goodreads,Total Avg Rating,Number of Ratings,Number of Reviews,Number of Pages_goodreads,Edition,Book Description,First Published date,Kindle Version and Price,Kindle Price,About the Author,_merge
Winter Turning: A Graphic Novel (Wings of Fire Graphic Novel #7) (Wings of Fire Graphix),9,5.0,1,10.39,Animals,Graphix,,Tui T. Sutherland,224.0,tui t. sutherland,,,,,,,,,,,,,,,,left_only
"Ruthless Vows (Letters of Enchantment, 2)",10,5.0,1,14.98,Romance,Wednesday Books,,Rebecca Ross,432.0,rebecca ross,https://www.goodreads.com/book/show/60784546-divine-rivals?from_choice=true,117671.0,Young Adult Fantasy & Science Fiction,Divine Rivals,Rebecca   Ross,4.26,"183,916","34,829",357.0,Hardcover,"When two young rival journalists find love through a magical connection, they must face the depths of hell, in a war among gods, to seal their fate forever.After centuries of sleep, the gods are warring again. But eighteen-year-old Iris Winnow just wants to hold her family together. Her mother is suffering from addiction and her brother is missing from the front lines. Her best bet is to win the columnist promotion at the Oath Gazette.To combat her worries, Iris writes letters to her brother and slips them beneath her wardrobe door, where they vanish—into the hands of Roman Kitt, her cold and handsome rival at the paper. When he anonymously writes Iris back, the two of them forge a connection that will follow Iris all the way to the front lines of battle: for her brother, the fate of mankind, and love.Shadow and Bone meets Lore in Rebecca Ross's Divine Rivals, an epic enemies-to-lovers fantasy novel filled with hope and heartbreak, and the unparalleled power of love.",4-Apr-23,Kindle Unlimited $0.00,0.0,"Rebecca Ross is the #1 New York Times and Sunday Times bestselling author of fantasy books for teens and adults. She has written multiple highly acclaimed duologies, including LETTERS OF ENCHANTMENT, ELEMENTS OF CADENCE, and THE QUEEN’S RISING as well as two standalone novels: DREAMS LIE BENEATH and SISTERS OF SWORD & SONG. When not writing, she can be found in her garden where she plants wildflowers and story ideas. She resides in Northeast Georgia with her husband and her dog. Find her on Instagram @beccajross or online at www.rebeccarossauthor.com.Rebecca is represented by Suzie Townsend of New Leaf Literary & Media.",both
"A Court of Thorns and Roses (A Court of Thorns and Roses, 1)",11,4.6,157620,9.99,Folklore,Bloomsbury Publishing,Bloomsbury Publishing,Sarah J. Maas,448.0,sarah j. maas,,,,,,,,,,,,,,,,left_only
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,12,4.6,83306,8.5,State & Local,Penguin Publishing Group,Penguin Books,Daniel James Brown,404.0,daniel james brown,,,,,,,,,,,,,,,,left_only
The 48 Laws of Power,13,4.7,72160,12.2,Success,Penguin Books,Penguin Books,Robert Greene,452.0,robert greene,,,,,,,,,,,,,,,,left_only
2024 National Park Foundation Wall Calendar: 12-Month Nature Calendar & Photography Collection (Monthly Calendar),14,4.8,8693,10.04,History,Sourcebooks,Sourcebooks,Foundation National,24.0,foundation national,,,,,,,,,,,,,,,,left_only
Lessons in Chemistry: A Novel,16,4.6,250836,12.4,Cooking,Doubleday,,Bonnie Garmus,400.0,bonnie garmus,,,,,,,,,,,,,,,,left_only
"Friends, Lovers, and the Big Terrible Thing: A Memoir",17,4.5,36900,17.94,Performing Arts,Flatiron Books,,Matthew Perry,272.0,matthew perry,,,,,,,,,,,,,,,,left_only
"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",18,4.7,45038,9.99,Motivational,Harriman House,Harriman House,Morgan Housel,256.0,morgan housel,,,,,,,,,,,,,,,,left_only
The Creative Act: A Way of Being,19,4.7,5125,17.49,Creativity,Penguin Press,toyshi,Rick Rubin,432.0,rick rubin,,,,,,,,,,,,,,,,left_only
The Ballad of Songbirds and Snakes (A Hunger Games Novel) (The Hunger Games),20,4.6,78178,11.9,Difficult Discussions,Scholastic Press,Scholastic,Suzanne Collins,528.0,suzanne collins,,,,,,,,,,,,,,,,left_only
The Bible in 52 Weeks: A Yearlong Bible Study for Women,21,4.7,24089,7.69,Women's Issues,Rockridge Press,Rockridge Press,Dr. Kimberly D. Moore,208.0,dr. kimberly d. moore,,,,,,,,,,,,,,,,left_only
The Housemaid,22,4.5,218634,7.99,Psychological,Grand Central Publishing,,Freida McFadden,336.0,freida mcfadden,https://www.goodreads.com/book/show/62848145-the-housemaid-s-secret?from_choice=true,86468.0,Mystery & Thriller,The Housemaid's Secret,Freida McFadden,4.28,"321,845","21,398",318.0,Kindle Edition,"It's hard to find an employer who doesn't ask too many questions about my past. So I thank my lucky stars that the Garricks miraculously give me a job, cleaning their stunning penthouse with views across the city and preparing fancy meals in their shiny kitchen. I can work here for a while, stay quiet until I get what I want.It's almost perfect. But I still haven't met Mrs Garrick, or seen inside the guest bedroom. I'm sure I hear her crying. I notice spots of blood around the neck of her white nightgowns when I'm doing laundry. And one day I can't help but knock on the door. When it gently swings open, what I see inside changes everything....That's when I make a promise. After all, I've done this before. I can protect Mrs. Garrick while keeping my own secrets locked up safe.Douglas Garrick has done wrong. He is going to pay. It's simply a question of how far I'm willing to go....",20-Feb-23,Kindle Unlimited $0.00,0.0,"New York Times, USA Today, Wall Street Journal, Publisher's Weekly, and Amazon Charts bestselling author Freida McFadden is a practicing physician specializing in brain injury who has penned multiple Kindle bestselling psychological thrillers and medical humor novels. She lives with her family and black cat in a centuries-old three-story home overlooking the ocean, with staircases that creak and moan with each step, and nobody could hear you if you scream. Unless you scream really loudly, maybe.",both
The Housemaid,22,4.5,218634,7.99,Psychological,Grand Central Publishing,,Freida McFadden,336.0,freida mcfadden,https://www.goodreads.com/book/show/123423832-the-coworker?from_choice=true,6373.0,Mystery & Thriller,The Coworker,Freida McFadden,3.84,"105,300","8,995",362.0,Paperback,"Two women. An office filled with secrets. One terrible crime that can't be taken backDawn Schiff is strange. At least, everyone thinks so at Vixed, the nutritional supplement company where Dawn works as an accountant. She never says the right thing. She has no friends. And she is always at her desk at precisely 8:45 a.m.So when Dawn doesn't show up to the office one morning, her coworker Natalie Farrell—beautiful, popular, top sales rep five years running—is surprised. Then she receives an unsettling, anonymous phone call that changes everything…It turns out Dawn wasn't just an awkward outsider—she was being targeted by someone close. And now Natalie is irrevocably tied to Dawn as she finds herself caught in a twisted game of cat and mouse that leaves her wondering: who's the real victim?<But one thing is incredibly clear: somebody hated Dawn Schiff. Enough to kill.",29-Aug-23,Kindle Unlimited $0.00,0.0,"New York Times, USA Today, Wall Street Journal, Publisher's Weekly, and Amazon Charts bestselling author Freida McFadden is a practicing physician specializing in brain injury who has penned multiple Kindle bestselling psychological thrillers and medical humor novels. She lives with her family and black cat in a centuries-old three-story home overlooking the ocean, with staircases that creak and moan with each step, and nobody could hear you if you scream. Unless you scream really loudly, maybe.",both
